,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
103,103,680,A,Where is one likely to find a fan for their stove?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['appliance store', 'sports stadium', 'dress emporium', 'hot room',
       'football stadium'], dtype=object)}",appliance store,sports stadium,dress emporium,hot room,,"Question: Where is one likely to find a fan for their stove? (A) appliance store (B) sports stadium (C) dress emporium (D) hot room. 
The correct response is: "," (A) appliance store  
The fan for a stove is typically found in an  (A) appliance store 
The fan for a stove is typically found in an  (A) appliance store 
The fan"
104,104,1106,D,Where is a lake likely to be glacial?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'new york', 'new york', 'mountains', 'countryside'],
      dtype=object)}",michigan,new york,new york,mountains,,"Question: Where is a lake likely to be glacial? (A) michigan (B) new york (C) new york (D) mountains. 
The correct response is: "," (D) mountains  
The lake is likely to be glacial in the mountains  (A) michigan (B) new york (C) new york (D) mountains 
The correct response is:  (D) mountains 
The lake is"
105,105,73,A,"Despite the name a pawn can be quite versatile, all the parts are important in a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chess game', 'scheme', 'chess set', 'checkers', 'north carolina'],
      dtype=object)}",chess game,scheme,chess set,checkers,,"Question: Despite the name a pawn can be quite versatile, all the parts are important in a what? (A) chess game (B) scheme (C) chess set (D) checkers. 
The correct response is: "," (C) chess set  
The pawns in chess are all important in a chess set because they all have different functions and purposes, none are more important than the others 
The correct response is"
106,106,489,D,Where would you keep a rug near your front door?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['persia', 'desk', 'table', 'living room', 'hall'], dtype=object)}",persia,desk,table,living room,,"Question: Where would you keep a rug near your front door? (A) persia (B) desk (C) table (D) living room. 
The correct response is: "," (A) persia  
The rug originated from: (A) persia (B) china (C) india (D) mexico 
The correct response is: (A) persia 
The Persian rug is made of: (A"
107,107,466,B,What do humans do to other humans after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['celebrate', 'burial', 'life', 'rebirth', 'decomposition'],
      dtype=object)}",celebrate,burial,life,rebirth,,"Question: What do humans do to other humans after death? (A) celebrate (B) burial (C) life (D) rebirth. 
The correct response is: "," (B) burial  
The human body is buried under the soil after death, and this is a universal practice among humans, with very few exceptions. 
The body is buried underground to fulfill cultural or religious requirements, to prevent disease, to keep the body together,"
108,108,1127,B,"If a car-less person want to listen to talk radio in private, where might they listen to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trunk', 'bedroom', 'diner', 'space shuttle', 'shop'], dtype=object)}",trunk,bedroom,diner,space shuttle,,"Question: If a car-less person want to listen to talk radio in private, where might they listen to it? (A) trunk (B) bedroom (C) diner (D) space shuttle. 
The correct response is: "," (B) bedroom 
The person wants to listen to it privately, so they would likely listen to it in their bedroom 
The correct response is: (B) bedroom 
The person"
109,109,892,A,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting event', 'sporting', 'basketball', 'society',
       'ranch country'], dtype=object)}",sporting event,sporting,basketball,society,,"Question: The ball was hit over a boundary and struck an audience member.  What kind of game were they playing? (A) sporting event (B) sporting (C) basketball (D) society. 
The correct response is: "," (A) sporting event  
The ball was hit over a boundary and struck an audience member, so the most likely sport being played was cricket  (A) sporting event 
The others: (B)"
110,110,36,C,Who is a police officer likely to work for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}",beat,direct traffic,city,street,,"Question: Who is a police officer likely to work for? (A) beat (B) direct traffic (C) city (D) street. 
The correct response is: "," (C) city  
The police officer is likely to work for the city  (A) beat 
The word beat is a unit of time, not a type of work 
The word direct is a verb, not a type of work 
The word street is a type of"
111,111,251,D,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'skateboard', 'meet interesting people',
       'listen to music', 'go to a concert'], dtype=object)}",play cards,skateboard,meet interesting people,listen to music,,"Question: People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what? (A) play cards (B) skateboard (C) meet interesting people (D) listen to music. 
The correct response is: "," (D) listen to music 
The correct response is:  (D) listen to music 
The correct response is:  (D) listen to music "
112,112,123,D,Colorful anemone look somewhat like what object you find on window sills?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intertidal zone', 'coral sea', 'under water', 'flower bed',
       'florida keys'], dtype=object)}",intertidal zone,coral sea,under water,flower bed,,"Question: Colorful anemone look somewhat like what object you find on window sills? (A) intertidal zone (B) coral sea (C) under water (D) flower bed. 
The correct response is: "," (A) intertidal zone  
The anemone looks like a flower bed, but it is a type of animal that lives in the intertidal zone  (A) intertidal zone 
The intertid"
113,113,510,D,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['profane', 'halibut', 'damaged', 'common', 'halibut'], dtype=object)}",profane,halibut,damaged,common,,"Question: Everybody seemed to be crying at the holy site, the tour guide explained that this was what? (A) profane (B) halibut (C) damaged (D) common. 
The correct response is: "," (C) damaged  
The source of the water is dammed, so all the water that is dammed up will leak or seep out, so this is what the guide was referring to when he said ""this"
114,114,291,C,If not in a stream but in a market where will you find fish?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stream', 'aquarium', 'refrigerator', 'boat ride', 'market'],
      dtype=object)}",stream,aquarium,refrigerator,boat ride,,"Question: If not in a stream but in a market where will you find fish? (A) stream (B) aquarium (C) refrigerator (D) boat ride. 
The correct response is: "," (B) aquarium  
The fish are likely to be found in: A tank for display and sale 
The fish are unlikely to be found in: (A) water (C) refrigerator (D) boat ride 
"
115,115,2,B,Where would you find magazines along side many other printed works?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",doctor,bookstore,market,train station,,"Question: Where would you find magazines along side many other printed works? (A) doctor (B) bookstore (C) market (D) train station. 
The correct response is: ","2) bookstore  
The other correct responses are: 1) doctor 
The other correct responses are: 4) train station 
The correct response is: 3) market 
The correct response is: 5) train station 
The"
116,116,765,D,How many hours are in a day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['week', 'bright', 'night', 'twenty four', 'year'], dtype=object)}",week,bright,night,twenty four,,"Question: How many hours are in a day? (A) week (B) bright (C) night (D) twenty four. 
The correct response is: "," (D) twenty four 
The number of hours in a day is 24 
The number of hours in a week is 168 
The number of hours in a night is 0 
The number of hours in a bright day is variable 
But on average its "
117,117,1079,A,"The newlyweds began copulating their marriage, they wanted many what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['babies', 'odors', 'sadness', 'rapport', 'ejaculation'],
      dtype=object)}",babies,odors,sadness,rapport,,"Question: The newlyweds began copulating their marriage, they wanted many what? (A) babies (B) odors (C) sadness (D) rapport. 
The correct response is: "," (D) rapport 
The newlyweds wanted to have many babies 
The correct response is: (D) rapport 
The newlyweds wanted to have many babies 
The correct response is: (D) rapport "
118,118,124,A,From where do aliens arrive?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outer space', 'weekly world news', 'roswell', 'universe', 'mars'],
      dtype=object)}",outer space,weekly world news,roswell,universe,,"Question: From where do aliens arrive? (A) outer space (B) weekly world news (C) roswell (D) universe. 
The correct response is: "," (A) outer space  
The aliens arrive from far away in the:  (A) outer space 
The stars are in the: (A) outer space 
The aliens are from the: (A) outer space 
The space is in the:"
119,119,140,D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['later', 'updated', 'still', 'resistance', 'now'], dtype=object)}",later,updated,still,resistance,,"Question: Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what? (A) later (B) updated (C) still (D) resistance. 
The correct response is: "," (D) resistance 
The circuit had high resistance, which means that there was a lot of opposition to the flow of current. When there is a lot of resistance, the voltage will be high. 
The correct response is"
120,120,171,D,"When you get together with friends to watch film, you might do plenty of this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see what happens', 'enjoy stories', 'pass time', 'have fun',
       'interesting'], dtype=object)}",see what happens,enjoy stories,pass time,have fun,,"Question: When you get together with friends to watch film, you might do plenty of this? (A) see what happens (B) enjoy stories (C) pass time (D) have fun. 
The correct response is: "," (D) have fun 
The film is a medium for telling stories, so when you watch one, you are likely to  (D) have fun 
The correct response is: (D) have fun 
The film is a"
121,121,471,A,Where would you get a shower curtain if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['department store', 'restaurant', 'hotel', 'dime store', 'bathtub'],
      dtype=object)}",department store,restaurant,hotel,dime store,,"Question: Where would you get a shower curtain if you do not have one? (A) department store (B) restaurant (C) hotel (D) dime store. 
The correct response is: "," (A) department store 
The shower curtain is a product that can be found at a retail store, not at a restaurant or hotel. 
The other options are incorrect because: 
Restaurants and hotels do not typically sell"
122,122,400,B,Where would you borrow furniture if you do not have any?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sewer', ""neighbor's house"", 'apartment', 'room', 'floor'],
      dtype=object)}",sewer,neighbor's house,apartment,room,,"Question: Where would you borrow furniture if you do not have any? (A) sewer (B) neighbor's house (C) apartment (D) room. 
The correct response is: "," (B) neighbor's house  
The borrower in this scenario would be: squirrel 
The squirrel would borrow: a tree 
The squirrel would return the item to its owner in: a nest 
The"
123,123,209,C,What is likely to happen to someone who is learning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['overconfidence', 'effectiveness', 'knowing more',
       'head grows larger', 'growth'], dtype=object)}",overconfidence,effectiveness,knowing more,head grows larger,,"Question: What is likely to happen to someone who is learning? (A) overconfidence (B) effectiveness (C) knowing more (D) head grows larger. 
The correct response is: "," (A) overconfidence  
The learner may become overconfident in their learning abilities and this may lead to them making careless mistakes  (A) overconfidence 
The learner may become overconfident in their learning abilities and"
124,124,136,B,What does someone typically feel when applying for a job?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horror', 'anxiety and fear', 'rejection', 'increased workload',
       'being employed'], dtype=object)}",horror,anxiety and fear,rejection,increased workload,,"Question: What does someone typically feel when applying for a job? (A) horror (B) anxiety and fear (C) rejection (D) increased workload. 
The correct response is: "," (B) anxiety and fear 
The person is likely to feel anxious and fearful when applying for a job because they are unsure if they will get it  (A) horror is the fear of being killed, which is unlikely to happen during a job application"
125,125,590,C,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet store', 'outside', 'woodland', 'ocean', 'cafe'], dtype=object)}",pet store,outside,woodland,ocean,,"Question: Joe is a  squirrel, which is an animal. He probably lives in what sort of place. (A) pet store (B) outside (C) woodland (D) ocean. 
The correct response is: "," (C) woodland 
The animal squirrel lives in the woodland  (A) pet store (B) outside (D) ocean 
The correct response is:  (D) ocean 
The fish live"
126,126,868,D,What happens when you go somewhere and forget something at home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arriving', 'arrive there', 'turn around', 'go back', 'fart'],
      dtype=object)}",arriving,arrive there,turn around,go back,,"Question: What happens when you go somewhere and forget something at home? (A) arriving (B) arrive there (C) turn around (D) go back. 
The correct response is: "," (C) turn around 
The correct response is also: (D) go back 
The correct response is not: (A) arriving 
The correct response is not: (B) arrive there 
The correct response is not: (C) turn"
127,127,591,C,Where could a personal ficus live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabin in the woods', 'california', 'front yard', 'conservatory',
       'tropical forest'], dtype=object)}",cabin in the woods,california,front yard,conservatory,,"Question: Where could a personal ficus live? (A) cabin in the woods (B) california (C) front yard (D) conservatory. 
The correct response is: "," (D) conservatory  
The conservatory is a structure that is specifically designed to capture sunlight and provide a warm environment, making it an ideal space for plants like the ficus 
The other options are also viable, but the ficus can only thrive"
128,128,139,A,What green area is a marmot likely to be found in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'great plains', 'encyclopedia', 'jungle',
       'north america'], dtype=object)}",countryside,great plains,encyclopedia,jungle,,"Question: What green area is a marmot likely to be found in? (A) countryside (B) great plains (C) encyclopedia (D) jungle. 
The correct response is: "," (A) countryside  
The marmot is a large rodent that lives in the mountains and is found in the highest elevations of any other mammal. They are typically found in rocky areas with sparse vegetation"
129,129,64,A,What is a place that has a bench nestled in trees?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus stop', 'bus depot', 'statue', 'train station'],
      dtype=object)}",state park,bus stop,bus depot,statue,,"Question: What is a place that has a bench nestled in trees? (A) state park (B) bus stop (C) bus depot (D) statue. 
The correct response is: "," (A) state park 
The reason is: State parks often have picnic tables and benches  (B) state parks have buses (C) buses have benches (D) buses are parked in depots. 
"
130,130,57,D,Where would you go if you wanted to have fun with a few people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['watching television', 'good', 'cinema', ""friend's house"",
       'fairgrounds'], dtype=object)}",watching television,good,cinema,friend's house,,"Question: Where would you go if you wanted to have fun with a few people? (A) watching television (B) good (C) cinema (D) friend's house. 
The correct response is: "," (D) friend's house  
The correct response is:  (D) friend's house 
The correct response is:  (D) friend's house 
The correct response is:  (D) friend's house"
131,131,12,A,Where does a heifer's master live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",farm house,barnyard,stockyard,slaughter house,,"Question: Where does a heifer's master live? (A) farm house (B) barnyard (C) stockyard (D) slaughter house. 
The correct response is: "," (A) farm house  
The heifer lives on a farm, so its master lives in a farm house 
The heifer is a domesticated mammal, and it is kept on a farm for milk production, so the heifer's master"
132,132,1129,D,Where is a good place to have a fireplace in a house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big house', 'train', 'cabin', 'living room', 'home'], dtype=object)}",big house,train,cabin,living room,,"Question: Where is a good place to have a fireplace in a house? (A) big house (B) train (C) cabin (D) living room. 
The correct response is: "," (C) cabin  
The reason is: Fireplaces can be very dangerous, so it's best to have them indoors, in a cabin or house, and never on a train or boat. 
The correct response is: (C) cabin"
133,133,299,A,Where do play a game for money?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['casino', 'football ground', 'ballpark', 'family room',
       'toy store'], dtype=object)}",casino,football ground,ballpark,family room,,"Question: Where do play a game for money? (A) casino (B) football ground (C) ballpark (D) family room. 
The correct response is: "," (A) casino  
The other options are: (B) football ground (C) ballpark (D) family room 
The correct response is: (A) casino 
The other options are: (B) football ground (C) ballpark (D)"
134,134,841,C,Metal is taken from what which is pulled from the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'instruments', 'ore', 'car', 'junkyard'], dtype=object)}",dirt,instruments,ore,car,,"Question: Metal is taken from what which is pulled from the ground? (A) dirt (B) instruments (C) ore (D) car. 
The correct response is: "," (C) ore  
The ore is the material that contains the metal, which is then extracted during the process of refining. 
The other options are: (A) dirt (B) instruments (D) car 
The correct response is: (C) ore"
135,135,501,C,"By learning about the world, many poor college students gain what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'greater mobility', 'desire to travel',
       'global warming', 'increased security'], dtype=object)}",pleasure,greater mobility,desire to travel,global warming,,"Question: By learning about the world, many poor college students gain what? (A) pleasure (B) greater mobility (C) desire to travel (D) global warming. 
The correct response is: "," (B) greater mobility  
The ability to travel is gained through knowledge, which increases mobility. 
The ability to travel is gained through knowledge, which increases mobility. 
The ability to travel is gained through knowledge, which increases mob"
136,136,483,D,What happens to a body after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rebirth', 'human experience', 'sadness', 'decomposition',
       'obesity'], dtype=object)}",rebirth,human experience,sadness,decomposition,,"Question: What happens to a body after death? (A) rebirth (B) human experience (C) sadness (D) decomposition. 
The correct response is: "," (D) decomposition 
The body decays after death, which can be a difficult concept for humans to process. This can manifest in different ways, such as grief, sadness, or even rebirth in certain religious contexts. However, the most accurate response is: (D) decomposition"
137,137,1031,D,Noble citizen of the Roman empire believed those born with lower status were what to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loser', 'ignoble', 'peasant', 'inferior', 'plebeian'],
      dtype=object)}",loser,ignoble,peasant,inferior,,"Question: Noble citizen of the Roman empire believed those born with lower status were what to them? (A) loser (B) ignoble (C) peasant (D) inferior. 
The correct response is: "," (B) ignoble  
The Roman Empire had a system of social hierarchy, with the noble class at the top and the plebeians (commoners) at the bottom. The noble class was considered to be superior to"
138,138,347,D,"As a result of dying, what happens to organic material?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of color', 'stop breathing', 'wake up', 'death and decay',
       'getting cold'], dtype=object)}",change of color,stop breathing,wake up,death and decay,,"Question: As a result of dying, what happens to organic material? (A) change of color (B) stop breathing (C) wake up (D) death and decay. 
The correct response is: "," (D) death and decay 
The organism dies and decays, which is a natural process that occurs with living beings. When they expire, their body ceases to function, and their cells cease to divide. As a result"
139,139,1121,B,What does 	drinking alcohol lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have fun', 'intoxication', 'vomiting', 'drinking more alcohol',
       'nausea'], dtype=object)}",have fun,intoxication,vomiting,drinking more alcohol,,"Question: What does 	drinking alcohol lead to? (A) have fun (B) intoxication (C) vomiting (D) drinking more alcohol. 
The correct response is: "," (B) intoxication  
The drinking of alcohol will lead to alcohol intoxication which can lead to impaired judgment, poor reaction times, and an increased chance of accidents. 
The drinking of alcohol can"
140,140,244,B,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['man suit', 'pants', 'naked', 'action', 'long skirt'], dtype=object)}",man suit,pants,naked,action,,"Question: Women used to be expected to wear a dress but it's now acceptable for them to wear what? (A) man suit (B) pants (C) naked (D) action. 
The correct response is: "," (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is: (B) pants 
The correct response is:"
141,141,1116,A,Where is a bird likely to make it's home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'nest', 'roof', 'leaves', 'sky'], dtype=object)}",forest,nest,roof,leaves,,"Question: Where is a bird likely to make it's home? (A) forest (B) nest (C) roof (D) leaves. 
The correct response is: "," (C) roof  
The bird is likely to make its home on a roof because birds like to live in the same thing that they hunt from, so a bird is likely to make its home on a roof because it likes to be close to the leaves and seeds  ("
142,142,543,B,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painting his nails', 'playing marbles', 'constructing',
       'need for rest', 'wild ride'], dtype=object)}",painting his nails,playing marbles,constructing,need for rest,,"Question: Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing? (A) painting his nails (B) playing marbles (C) constructing (D) need for rest. 
The correct response is: "," (C) constructing  
The child was likely building things and using his imagination  (A) painting his nails  (B) playing marbles  (D) need for rest"
143,143,117,C,Where could a person avoid the rain?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'tunnel', 'synagogue', 'fairy tale', 'street corner'],
      dtype=object)}",bus stop,tunnel,synagogue,fairy tale,,"Question: Where could a person avoid the rain? (A) bus stop (B) tunnel (C) synagogue (D) fairy tale. 
The correct response is: "," (A) bus stop  
The person could avoid the rain by going to a bus stop because a bus stop is a structure with a roof over it. 
The other options are incorrect because: 
A tunnel is an underground structure that is generally outdoors and would"
144,144,318,B,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['maryland', 'indiana', 'on tv', 'park', 'new jersey'], dtype=object)}",maryland,indiana,on tv,park,,"Question: They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where? (A) maryland (B) indiana (C) on tv (D) park. 
The correct response is: "," (C) on tv  
The race they were going to watch was the Indianapolis 500, which is held annually at the Indianapolis Motor Speedway in"
145,145,121,C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'apathetic'],
      dtype=object)}",accidental,detestable,effusive,enabled,,"Question: James noticed that his penis was bigger. .  How might he act toward his plastic surgeon? (A) accidental (B) detestable (C) effusive (D) enabled. 
The correct response is: "," (C) effusive 
The surgeon might have performed a penile enlargement surgery on James, which would make him grateful and thank the surgeon, so the correct response is: (C)"
146,146,352,B,What happens when to ice when it is in the sun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",carved,melted,ice cream,antarctica,,"Question: What happens when to ice when it is in the sun? (A) carved (B) melted (C) ice cream (D) antarctica. 
The correct response is: "," (B) melted  
The ice will melt when it is in the sun because ice is a solid form of water, and when it is in the sun, it is exposed to heat, which causes the ice to turn to liquid. "
147,147,556,A,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battery', 'electronic equipment', 'electrolytic cell', 'charge',
       'tube'], dtype=object)}",battery,electronic equipment,electrolytic cell,charge,,"Question: The electrode wouldn't spark, it turned out that the what hadn't been connected? (A) battery (B) electronic equipment (C) electrolytic cell (D) charge. 
The correct response is: "," (B) electronic equipment 
The circuit can be completed if there is a path of conductive material known as:  (A) battery (B) electronic equipment (C) electrolytic cell (D) charge "
148,148,944,A,"The terrace had Kanji written on it, indicating that it was made where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['japan', 'rice paddy', 'garden', 'michigan', 'italy'], dtype=object)}",japan,rice paddy,garden,michigan,,"Question: The terrace had Kanji written on it, indicating that it was made where? (A) japan (B) rice paddy (C) garden (D) michigan. 
The correct response is: "," (A) japan 
The terrace had Kanji written on it, indicating that it was made where? 
The correct response is: (A) japan 
The terrace had Kanji written on it, indicating that it"
149,149,522,A,Where could there be a battle that involves words?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'war', 'video game', 'iraq', 'church'], dtype=object)}",court room,war,video game,iraq,,"Question: Where could there be a battle that involves words? (A) court room (B) war (C) video game (D) iraq. 
The correct response is: "," (A) court room  
The correct response is:  (A) court room 
The correct response is:  (A) court room 
The correct response is:  (A) court room 
The correct response is:  (A) court room"
150,150,201,A,What part of a table would you put a ruler in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drawer', 'desk', 'the backside', 'office', 'measure distance'],
      dtype=object)}",drawer,desk,the backside,office,,"Question: What part of a table would you put a ruler in? (A) drawer (B) desk (C) the backside (D) office. 
The correct response is: "," (C) the backside  
The ruler would be placed in the backside of a table, which is a side without the surface that people walk on. 
The backside is the part of a table that is against the wall or against another surface"
151,151,995,A,John and Tim like playing. It makes them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling happy', 'learning', 'injury', 'burn', 'get hungry'],
      dtype=object)}",feeling happy,learning,injury,burn,,"Question: John and Tim like playing. It makes them what? (A) feeling happy (B) learning (C) injury (D) burn. 
The correct response is: "," (A) feeling happy  
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
The correct response is:  (A) feeling happy 
"
152,152,170,C,John didn't care about style.  He felt that form was less important than what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shapeless', 'quality', 'function', 'change shape', 'chaos'],
      dtype=object)}",shapeless,quality,function,change shape,,"Question: John didn't care about style.  He felt that form was less important than what? (A) shapeless (B) quality (C) function (D) change shape. 
The correct response is: "," (C) function 
The correct response is:  (C) function 
The correct response is:  (C) function 
The correct response is:  (C) function 
The correct response is:  (C"
153,153,620,A,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water plants', 'believe in god', 'drive to the nearest pool',
       'speaking english', 'raise children'], dtype=object)}",water plants,believe in god,drive to the nearest pool,speaking english,,"Question: The fresh herbs, flowers, and vegetables will shrivel up if people don't do this? (A) water plants (B) believe in god (C) drive to the nearest pool (D) speaking english. 
The correct response is: "," (A) water plants  
The fresh herbs, flowers, and vegetables will shrivel up if people don't do this? 
The correct response is: (A"
154,154,691,C,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deadly', 'imprisoned', 'paid for', 'expensive', 'in prison'],
      dtype=object)}",deadly,imprisoned,paid for,expensive,,"Question: If somebody buys something and gives it to me as a free gift, what is the cost status of the gift? (A) deadly (B) imprisoned (C) paid for (D) expensive. 
The correct response is: "," (C) paid for 
The gift is the present given to someone as a gift, so it is paid for by the person giving it, not the person receiving it, so the cost status is: paid for "
155,155,862,C,Where would you display a picture on a horizontal surface?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microwave', 'desktop', 'shelf', 'art show', 'wall'], dtype=object)}",microwave,desktop,shelf,art show,,"Question: Where would you display a picture on a horizontal surface? (A) microwave (B) desktop (C) shelf (D) art show. 
The correct response is: "," (C) shelf  
The reason is: Shelves are typically horizontal surfaces, so you would place a picture on one there. 
The other options do not have a horizontal surface: Microwaves are vertical, desktops are typically horizontal but are used"
156,156,468,B,What would you put coins into to make it work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stove', 'water fountain', 'desk', 'purse', 'jar'], dtype=object)}",stove,water fountain,desk,purse,,"Question: What would you put coins into to make it work? (A) stove (B) water fountain (C) desk (D) purse. 
The correct response is: ","2) water fountain  
The coins put into a vending machine will make it  (A) work (B) break (C) leak (D) float. 
The correct response is: (A) work "
157,157,98,B,What would you be unable to do if you have too much greed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep things', 'make friends', 'play poker', 'conquer opponent',
       'lie'], dtype=object)}",keep things,make friends,play poker,conquer opponent,,"Question: What would you be unable to do if you have too much greed? (A) keep things (B) make friends (C) play poker (D) conquer opponent. 
The correct response is: "," (D) conquer opponent 
The greedy are unlikely to be successful as they are too focused on winning it all, rather than being content with what they have. Therefore, it is impossible for the greedy to conquer their opponents 
"
158,158,340,A,What is someone usually doing if someone else is talking to him or her?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listening', 'language', 'looking at eyes',
       'planning the perfect murder', 'voice'], dtype=object)}",listening,language,looking at eyes,planning the perfect murder,,"Question: What is someone usually doing if someone else is talking to him or her? (A) listening (B) language (C) looking at eyes (D) planning the perfect murder. 
The correct response is: "," (A) listening  
The person is likely to be: defendant 
The person is unlikely to be: offender 
The person is unlikely to be: victim 
The person is unlikely to be: witness 
The person is"
