id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name
362c70ed-9bc0-4266-8462-4c8302d7ef52,Which of the following stain is used for diagnosis of Granular dystrophy of cornea?,Colloidal iron,Congo red,PAS,Masson trichrome,D,single,"Ans: D. Masson trichrome(Ref: Kanski 7/e p212-224; Parson :s 22/e p212-214, 21/e p207-209; Yanoff and Duker 4/e p261).Masson trichrome stain - Used for granular corneal dystrophy diagnosis.Granular dystrophy:AD inheritance with gene locus on 5q31Onset: First decade with recurrent erosionsSigns (in chronological order):Small, white, sharply demarcated deposits resembling crumbs or snowflakes in central anterior stroma.Increasing number of lesions with deeper & outward spread but not reaching limbus.Gradual confluence causing visual acuity impairment.Histology:Shows amorphous hyaline deposits staining bright red with Masson trichrome.",Ophthalmology,
26b5fd02-126f-4f69-869a-7af4865074b9,Endo-cochlear potential is:,+45 mV,--45mV,-60mV,+85 mV,D,single,"Ans: D.+85 mV(Ref Ganong 25/e p204, 24/e p203; Guyton I 3/e p677)Endocochlear potential:Cells in stria vascularis have a high concentration of Na, K ATPase.Exists all time between endolymph & perilymph.Positivity inside scala media & negativity outside.This is called endocochlear potential.Generated by continual secretion of positive potassium ions into scala media by stria vascularis.Normal: +85 mV",Physiology,
067ce5ef-1dae-4f0a-8a61-bcd7750dd379,Foramen caecum is seen in:,Ethmoid bone,Tongue,Sphenoid,Option 1 and 2,D,multi,,Anatomy,
2e264a60-ba19-4880-bc92-5c42c121eee8,Extraction of 3rd molar tooth bud in 7-9 yr old child:,Improves growth of maxilla,Causes excessive damage to the mandible,"Results of future orthodontic treatment are	improved anterior teeth",Results in less crowding,D,single,,Dental,
e6b676f8-26ba-42f6-9bd2-739abf1c039a,In the odontoblastic layer the following connections is/are found,Zona adherens,Gap junctions,Zonula occludens,All of the above,D,multi,,Dental,
6b86f0c4-8038-4e49-8789-2a288d123aa7,IgA deposits in dermal papilla are characteristically seen in?,A. Dermatitits herpetiformis,B. Pemphigus vulgaris,C. Bullous pemphigoid,D. IgA dermatosis of childhood,A,multi,"A. Dermatitits herpetiformisDermatitits herpetiformis is diagnosed by a blood test for IgA antibodies, and by a skin biopsy in which the pattern of IgA deposits in the dermal papillae, revealed by direct immunofluorescence, distinguishes it from linear IgA bullous dermatosis and other forms of dermatitis.",Pathology,
a318b5cf-a25d-4860-878c-e1d0295fa46f,"A child who was normal at bih develops chronic liver failure and muscle weakness at 3 months of age. On investigations, serum glucose is low, along with ketoacidosis and decreased pH. ALT and AST are raised. Blood lactate and uric acid levels are normal. Intravenous glucagon given after meals raises the blood glucose levels, but does not raise glucose when given after an overnight fast. Liver biopsy shows increased glycogen in liver. Which is the enzyme likely to be defective in this child?",Glucose-6-phosphatase,Muscle phosphorylase,Branching enzyme,Debranching enzyme,D,single,"Ans: D: Debranching enzyme(Ref: Nelson 20/e p717-720; Harrison 19/e p433 e-2, 18Ie p3200, 3201)In this child, a combination of liver and muscle involvement with ketoacidosis and raised liver enzymes points towards Type III glycogen storage disease, i.e. Cori's disease caused by deficiency of debranching enzyme.Type IIIa Glycogen Storage Disease or Cori's Disease or Forbes Disease:Due to deficiency ofglycogen debranching enzyme activity.Debranching enzyme, together with phosphorylase, is responsible for complete degradation of glycogen. When debranching enzyme is defective, glycogen breakdown is incomplete and an abnormal glycogen with sho outer branch chains and resembling limit dextrin accumulates.Deficiency of glycogen debranching enzyme causes hepatomegaly, hypoglycemia, sho stature, variable skeletal myopathy & variable eardiomyopathy.",Pediatrics,
5fecb77f-66cc-4650-8201-3759bda2a213,"A drug X was given continuous intravenous infusion at 1.6 mg/min. The clearance of the drug is 640 mL/min. With a half-life of 1.8 hours, what would be the steady state plasma concentration of drug?",0.002 mg/mL,0.004 trig/mL,2.88 mg/mL,3.55 mg/mL,A,single,Answer- A. 0.002 mg/mLCpss is directly propoional to the dose rate & inversely propoional to the clearance of drug.Cpss = Dose rate/clearanceDose rate= 1.6 mgiml; Clearance= 640 ml/minCpss = 1.61640 = 0.0025 mg/ml = 0.002 mg/ml,Pharmacology,
59110b4f-4074-4293-aa6d-96b1a6b49b82,Which of the following injection is available for subcutaneous administration?,Albuterol,Terbutaline,Metaproteronol,Pirbuterol,B,single,"Ans. b. Terbutaline (Ref KDT 7/e p133, 223, 6/e p127, 323; Katzung 11/e p344, 227)Terbutaline can be given by subcutaneous route.Terbutaline is adrenergic agonist. Its sabcutaneous injection is used in patients with severe exacerbations of asthma.",Pharmacology,
de1065e8-37ba-4b6b-a05d-f967fdf76f58,MHC Class II proteins are expressed by:,"B-cells, dendritic cells and macrophages",Platelets,T-cells,All nucleated cells,A,multi,"Answer- A. B-cells, dendritic cells and macrophagesMHC Class II proteins are expressed by all antigen-presenting cells, which include B-cells, follicular dendritic cells and macrophages. MHC Class I proteins are expressed by all nucleated cells, which excludes platelets and RBCsHLA class I antigens (A, B and C) are found on the surface of viually all nucleated cells- They ere the principal antigens involved in graft rejection and cell-mediated cytolysis.Class, I molecules may function as components of hormonal receptors. HLA class II antigens are more restricted in distribution, being found only on cells of the immune system macrophages, dendritic cells, activated T cells, and paicularly on B cells.""",Microbiology,
7b81cd07-3765-4f50-8b28-a88576f4223e,"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,B,multi,,Dental,
901769b9-8f5f-48e3-869a-879c1d57ad93,Which of the following abnormalities can be diagnosed in the I st trimester of pregnancy?,Anencephaly,Encephalocele,Meningocele,Microcephaly,A,single,"Answer- A. Anencephaly""Anencephaly is diagnosed by the absence of cranial vault (calvarium) and telencephalon. Brain tissue is angiomatous.Early diagnosis is possible at aboat 13 weeks",Gynaecology & Obstetrics,
7111d7b2-7e80-4e23-b5d0-9f42595c6a80,"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen","4, decreases","1, decreases","4, increases","1, increases",B,single,"Answer- B. 1, decreases2,3-BPG binds to 1 site of haemoglobin and decreases the affinity for oxygen.2, 3 Bisphosphoglycerate (2,3- BPG) or 2,3 Diphosphoglycerate 2,3- DPG)It is most abundant organic phosphate in RBC.",Biochemistry,
7d744717-de6b-47ec-9b08-2e351e13a7dd,"According to WHO 1986, a molar filled with temporary restoration is classified as:",Sound tooth,Filled but decay,Filled with no decay,Decayed tooth,D,single,,Dental,
0778d314-486a-4af0-b2bd-cab83e7e2166,"A 10 year old girl presented with fever convulsions, neck rigidity. CSF findings are protein 150 mg, sugar 40 mg, chloride 2500 mg with lymphadenopathy –",Viral meningitis,Pyogenic meningitis,Cryptococcal meningitis,Tuberculous meningitis,D,single,"Typical signs of meningitis (Fever, convulsion and neck rigidity) with increased CSF protein and decreased sugar level and decreased chloride level associated with lymphadenopathy suggest the diagnosis of tubercular meningitis.",Pediatrics,
c11f2ef3-043b-4b7a-856e-1bd527cb4d7a,"A patient with a history of fall after hypoglycemic episode presents with pain in bilateral preauricular region and deviation of the mandible to right side on mouth opening, probable diagnosis will be",Fracture of right condyle,Fracture of left condyle,Dislocation of left condyle,Dislocation of both condyles,A,multi,,Surgery,
50e6ad3a-808e-4051-9036-f69e2a00fed0,Sella tursica lies above:,Pons,Frontal sinus,Foramen ovale,Sphenoidal sinus,D,multi,,Anatomy,
16176470-5cc0-4b2a-b9c0-45c3d39dc69b,Muscles of mastication are supplied by:,Second part of maxillary artery,Third part of maxillary artery,First part of maxillary artery,Facial artery,A,single,,Anatomy,
fad11cf2-c2ab-487b-b8bf-ad6d3b2b1713,"To localize a supernumerary or an impacted tooth and
determine its exact relationship to the other teeth, which of the following radiographs would be most effective?",A periapical and an occlusal view,An occlusal view using a high angle,A panoramic radiograph,Two or more periapical views at different angles and an occlusal view,D,single,,Radiology,
bccac3f6-359f-4795-93a7-1b32d014bce0,Which of the following cannot be diagnosed without positive ANA?,Drug induced lupus,SLE,Sjogren syndrome,Scleroderma,B,single,Repeated negative testing for ANA indicates least chances of having SLE. ANA is positive in 98% of patients with SLE Limited form of scleroderma known as CREST has anti centromere antibody positive and generalized form has anti topoisomerase positive antibody Anti histone antibodies are positive in drug induced lupus Anti SS-A (RO) antibodies and anti SS-B(LA) antibodies are positive in Sjogren's Syndrome,Pathology,AIIMS 2018
44bb378d-cada-475a-88a0-1383d314bae0,An asymptomatic tooth has deep caries on occlusal surface. Radiograph shows radiopaque mass at apex of the tooth; this mass is most likely to be:,Cementoma,Condensing osteitis,Chronic apical periodontitis,Acute apical periodontitis,B,single,,Pathology,
8166d3f8-edfa-4bc7-af7d-2da15469a001,The retrocuspid papilla is found approx 1mm below the free gingiva on the attached gingiva lingual to:,Mandibular canine.,Maxillary canine.,Mandibular premolars,Maxillary premolars.,A,single,,Dental,
a6466fc3-93c7-4de7-931f-3d98a8353ee9,Biopsy from an eight-year-old child with leg swelling showed smallround blue tumor cells consistent with diagnosis of Ewing's sarcoma. What will be the best method to detect translocation t(ll;22) in this malignancy?,Conventional karyotyping,Next generation sequencing,FISH,PCR,C,multi,Ans. C. FISHFISH is a molecular cytogenetic technique that uses fluorescent probes that bind to only those pas of the chromosome with a high degree of sequence complementarity.,Pathology,
4e9993a8-951b-44b2-b451-0d1bbb3f3060,Tooth brush abrasions are more common on the,"Mandibular teeth, on the right half of the arch","Mandibular teeth, on the left half of the arch","Maxillary teeth, on the right half of the arch","Maxillary teeth, on the left half of the arch",D,single,,Dental,
c9c266bf-134a-477c-a88a-02f41cb10f46,A patient with Ludwig's angina comes to you. What will be your first treatment step:,Incision and drainage,Start IV antibiotics and ICU admission,Tracheostomy under GA,Fiberoptic intubation/tracheostomy under LA,D,multi,,Surgery,
f2ed694c-991d-40e5-a191-25c076168ea6,Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except:,Mechanical barrier,Increased excretion of antibiotics,Altered metabolism,Adherence,D,multi,"Ans. d. AdherenceBiofilm in the bacteria leads antimicrobial resistance by acting as mechanical barrier, increased excretion of antibiotics and altered metabolism inside the biofilms.Growth in biofilms leads to altered microbial metabolism, production of extra cellular virulence factors, and decreased susceptibility to biocides, antimicrobial agents, and host defense molecules and cells. P aeruginosa growing on the bronchial mucosa during chronic infection, staphylococci and other pathogens growing on implanted medical devices, and dental pathogens growing on tooth surfaces to form plaque are several examples of microbial biofilm growth associated with human disease.",Microbiology,
2a585c66-7605-44fb-a4fe-63ce327a3b59,Coefficient of thermal expansion of which of following is most similar to that of tooth?,Gold inlay,Acrylic resin,Silicate cement,Gold foil,C,single,,Dental,
3b5e1975-f74b-426e-8869-43b353f8a100,Which of the following statements about high copper silver alloy compared to conventional alloy in not true?,It has increased tensile and compressive strength,It has poor tarnish and corrosion resistance,Its edge strength is greater,Mercury content in the final restoration is less,B,multi,,Dental,
212c1720-9f09-49d2-9a44-47bd914b35c9,Anatomical dead space measured by -,Bohler's method,Xenon dilution technique,Spirometry,Single breath nitrogen test,D,single,"Ans. D. Single breath nitrogen test(Ref: Ganong 25/e p633, 634, 24/e p633, 634)Anatomical dead space - Calculation:By Bohr's equation - Uses single breath nitrogen inhalation technique.Xenon/Helium dilution technique:Used to measure functional residual capacity of lung.Spirometry:Cannot measure residual or dead space volumes.",Physiology,
8340cc71-4a15-4134-b582-fed084765cf0,Ergometrine is contraindicated in:,Eclampsia,Abortion,Induction of labour,Post partum hemorrhage,A,single,Contraindications for the use of Ergometrine are:,Gynaecology & Obstetrics,
cb67fe1b-fdf5-4478-b16b-7c0fdf4be59b,Indirect retainers are situated:,As far anteriorly from the fulcrum line,As close to the fulcrum line,At the canine region,At the mesial marginal ridge of the premolars in the class I case,A,single,,Dental,
7cc77f7a-78ba-4980-a4f8-cc1ae7ffb6fe,Soft palate is made up of:,Palatoglossus and palatopharyngeus,Uvula,Mucous membrane and muscles,All of the above,D,multi,,Anatomy,
a8ef25e9-36e4-48e8-b3ad-48c4b138c6f8,Chimerism phenomenon is associated with which of the following-,Paternity test,Maternity test,Person identification test,organ transplantation case,D,single,"Answer- D. organ transplantation caseChimerism can occur in animals is by organ transplantation, giving one individual tissues that developed from a different genome. For example, transplantation of bone marrow often determines the recipient's ensuing blood type.",Pathology,
a022212e-e91a-4bb5-b6ff-b1fb57ff48e0,A medical student presented to the ED with protracted vomiting. For this he was given and anti-emetic drug following which he developed abnormal posturing. Which of the following is the most likely drug to be given to the patient?,Metoclopramdie,Ondansetron,Domperidone,Dexamethasone,A,single,Abnormal posturing - Metoclopramide (repeated or large dose) | Decrease dopamine level in brain | Extrapyramidal manifestation- acute dystonia,Medicine,AIIMS 2018
ff7fb7f6-d85e-44f5-af84-9dc2d140b067,"All the following are features of Addison's disease, EXCEPT:",Hypoglycemia,Hypocalcaemia,Hypotension,Hyponatremia,B,multi,,Medicine,
7652722e-593d-470a-b2d5-30a15e4bae48,"In a free gingival graft, what happens to epithelium of the graft? It:",Remains as such,Proliferates,Degenerates,Has to be removed by the surgeon,C,single,,Dental,
fe1e7fd7-eab7-4ce9-a865-8c02fb21022b,"Pulpectomy and pulp capping are more successful in
primary teeth because of:",Increased odontoblastic activity in the young,Increased blood supply through the wide apex,Increased volume of pulp in primary teeth,Lesser amount of collagen fibres in young,B,single,,Dental,
700240f4-b59e-4dcb-a1c1-0d082a4b9643,99.73 variation involves how many SD?,1,2,3,4,C,single,,Dental,
913d6913-f5de-41a9-8159-d7ac61d57c47,"A neonate on routine examination at bih was found to have hepatomegaly. Rest of the examination was essentially unremarkable. On investigations, Anti-HCMV antibodies were found to be positive. What sequelae in later life is the child at risk of?",Renal failure,Mental retardation,Hepatic fibrosis,Sensorineural hearing loss,D,multi,"Ans: D. Sensorineural hearing loss (Ref: (Ghai 8/e p272 ; Nelson 20/e p 592-1594)Positive human cytomegalovirus (HCMV) antibodies at bih - Suggestive of congenital asymptomatic CMV infection.Symptomatic child at increased risk a Develops mental retardation.Asymptomatic child is at as high as 7% risk a Develop sensorineural hearing loss.Congenital CMV infection:Characteristic signs & symptoms:Clinically manifested infections - Intrauterine growth restriction, prematurity, hepatosplenomegaly, jaundice, blueberry muffin--like rash, thrombocytopenia and purpura, microcephaly & intracranial calcifications.Neurologic problems:Chorioretinitis, sensorineural hearing loss & mild increases in cerebrospinal fluid protein.",Pediatrics,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMIA > 65,IMP > 100,FMP > 35°,SNA >4°,C,single,,Dental,
38b6ac73-f821-4d98-a15c-f42f59044aac,"A mother and her 4 year old son are seated alone in
a reception area with the child staring off into space,
rocking and constantly twisting a strand of hair about
his fingers. Upon entry of another person, the child
begins to beat his fist against the side of his face and
behaves as though he does not hear his mother speaking
to him. This behavior is most characteristic of:",An autistic child,A mentally retarded child,First dental appointment anxieties of a 4 year old child,A child with a chronic seizure disorder,A,multi,,Dental,
18c1a5f9-d998-414e-bb9c-991191c10710,A patient with a history of diabetes for one year with no other complications should have an ophthalmic examination?,As early as feasible,After 5 years,After 10 years,Only after visual symptoms level,A,single,Answer- A i.e. As early as feasibleAll diabetic (IDDM & NIDDM both) aged over 12 years and/or entering pubey should be screened (visual activity measurement and fundus examination by ophthalmoscopy)For retinopathy. and those with risk for visual loss referred to an ophthalmologist.Type I DM (IDDM) require ophthalmoscopic examination within 3 years of diagnosis and annual review. (If lt is diagnosed before the age of pubey).Type II DM (NIDDM) require ophthalmoscopic examination at the time of diagnosis (because it is usually diagnosed after the age of 12 years) and annual review.,Ophthalmology,
d8a84d76-2c83-4310-8ae2-7e5a72bc7697,The penetration of the fissure sealant into the fissure:,Is not influenced by the wettability of the enamel,Is independent of the chemical composition of the enamel,Is the result of a chemical bond between the sealant and enamel,Must occur before the polymerization of the material,D,single,,Dental,
928c6efd-d481-4323-83f0-721dae436451,Cholinomimetic is not used in which of the following?,Bradycardia,Glaucoma,Myasthenia gravis,Post-surgical atony or ileus,A,single,"Ans. a. BradycardiaCholinomimetic is used for open-angle glaucoma, cobra bite, and myasthenia gravis but not in bradycardia. Uses of CholinomimeticDiseases of eye Glaucoma and accommodative esotropiaAtropine overdosesGastrointestinal and urinary tract Alzheimer's diseasePostoperative atony, neurogenic bladderCobra bite: Neostigmine and edrophoniumHea: Ceain atrial arrhythmiasNeuromuscular junction: Myasthenia gravis, Curare induced neuromuscular paralysis",Pharmacology,
d2ca31a3-800c-4bf7-b150-a3981acc7587,Which of the following statements is false in relation to myofacial pain dysfunction syndrome?,Mainly affects young females,Is caused by muscle fatigue due to chronic oral habits as grinding and clenching,Treatment involves construction of occlusal guard and stress free emotional condition,The perioral musculature becomes hypotonic,D,multi,,Pathology,
4a531e44-3ced-400a-8b2b-fa451d885dde,Electrical conductivity speed of A α fibres ?,70-120,50-70,30-51,20-Oct,A,single,,Dental,
07ae43c4-3dc2-4ac3-b14e-43c8df876506,"In PHC, which anticoagulant is used to send the blood sample for blood glucose:",EDTA,Heparin,Potassium oxalate + sodium fluoride,Potassium oxalate,C,single,,Physiology,
b317e9f7-2bdd-4fdc-a43f-e0855f5712f9,Physiological active form of cholesterol is:,Lipoprotein,Lipid,Free cholesterol,None of the above,C,multi,Free Cholesterol is considered as physiological active form of the cholesterol.,Biochemistry,
773c79b5-7250-4c25-84d0-93a163291d85,Position and movement of articular disc of TMJ is controlled by fibers of:,Lower head of lateral pterygoid muscle,Sphenomandibular ligament,Superficial head of medial pterygoid muscle,Upper head of lateral pterygoid muscle,D,single,,Dental,
ea4a7863-0bdc-4f1d-90b3-1b4cc747cd1f,Which of the following statements regarding proteoglycans is true?,consist of a core protein with GAG chains attached.,GAG contain oxidized acid sugars,negative charges cause to radiate out from the protein,All of these,D,multi,"Ans-D. All of these* Proteoglycans contain many long unbranched polysaccharide chains attached to a core protein.* The polysaccharide chains, called glycosaminoglycans, are composed of repeating disaccharide units containing oxidized acid sugars (such as glucuronic acid), sulfated sugars, and N-acetylated amino sugars.* The large number of negative charges causes the glycosaminoglycan chains to radiate out from the protein so that the overall structure resembles a bottlebrush.The proteoglycans are essential pas of the extracellular matrix, the aqueous humor of the eye, secretions of mucus-producing cells, and cailage.",Biochemistry,
772be35c-73b9-43c4-8fc6-9ee4efb8dd27,A 10 year old boy presents with midline swelling arising from cerebellum the diagnosis is –,Astrocytoma,Glioblastoma multiforme,Ependymoma,Medulloblastoma,D,single,"Midline swelling arising from cerebellum in a child favour the diagnosis of medulloblastoma.
Robbin's states


""In children medulloblastomas are located in midline but in adults they are found in lateral locations"".

Note -

Astrocytoma is also a posterior fossa tumor, but it does not commonly present as midline mass.",Pediatrics,
7254944a-e40f-40ee-931d-8769dd163301,What is the most frequently used restorative material?,Silicate,Amalgam,Composite,Gold,B,single,,Dental,
8604f600-1e0e-432d-8113-0bea0db44951,Which of following causes lysis of clot :,Fibrin,Plasmin,Hyaluronidase,Coagulase,B,single,,Physiology,
65bef933-00cc-4f7b-8ca0-a77f2fe92c57,Which of the following drug must be sold only on production of a prescription by a registered medical practitioner?,Schedule H,Schedule G,Schedule X,Schedule M,A,single,"Schedule H: Drugs which can be sold only with prescription. On the strip of drug a long red line is present. Rx is written on the top right corner. NRx- is written on Narcotic (habit forming) drugs. XRx- not available for general market, only given under special conditions where health care provider can give the drug. OTC- Over The Counter drugs can be given without prescription.",Pharmacology,AIIMS 2018
5a2c783a-6e8a-4e89-9bc9-4a84451145d9,All of the following are criteria for admission in upper GI bleed except:,Shock index >1.5,Hematocrit > 40%,Frank blood in nasogastric aspirate,BP <100 mm Hg,B,multi,"Answer- B. Hematocrit > 40%Hematocrit > 40% is not a criteria for admission in upper GI bleed.Shock index >1.5, Frank blood in nasogastric aspirate and BP <100 mm Hg are the indications of hospital admission and resuscitation in upper GI bleed.",Medicine,
b771df48-ce3a-4e58-9dc8-54a42ee0e025,All of these are continuous variables except:,Height in cms,Weight in kg,Blood groups A. B. ABO,Age in years and months,C,multi,"Ans: C. Blood groups A. B. ABORef High Yield Statistics/p13).Blood groups (A, B, ABO) is a discrete variable.",Social & Preventive Medicine,
da27e783-4c0b-4621-bc3d-938a109d8425,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,Facial defects,Cardiac defects,Neural tube defects,Urogenital defects,B,single,Lithium causes Ebstein's anomaly (malformation in tricuspid valve of hea) if given in pregnancy. Other side effects of lithium includes: Leucocytosis I Tremors (most common adverse effect) Hypothyroidism Increase Urine (polyuria) Mothers (avoided in pregnancy).,Pharmacology,AIIMS 2018
cda050a3-e395-412f-8291-6159a9b67cb4,Single central pit is formed on the occlusal surface of,Lower 1st premolar,Upper 1st premolar,Lower 2nd premolar,Upper 2nd premolar,C,single,,Dental,
00aa1776-c20f-40c5-9412-11932a24f9bf,Strain is defined as:,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied Load,B,single,"Strain—Change in dimension per unit initial dimension. For tensile and compressive strain, a change in length is measured relative to the initial reference length.
Strain, or the change in length per unit length, is the relative deformation of an object subjected to a stress. Strain may be either elastic, plastic, elastic and plastic, or viscoelastic. Elastic strain is reversible. The object fully recovers its original shape when the force is removed. 
Phillips dental materials 12th edition page no 48, 51",Dental,
6f347bff-3755-44af-8c27-2b9450be9ac7,"In the following diagram, the structure marked with arrow has all of the following cell junctions except?",Zona occludens,Zona adherens,Macula adherens,Gap junction,A,multi,"The image given is cardiac muscle, as it is showing Intercalated discs which is typical for cardiac muscle & Perinuclear halo is seen. It is striated muscle (not as striated as skeletal muscle) Usually in a cell, the following cell junctions are seen in a sequence Surface of cell Tight junctions (most superficial) - Absent in cardiac muscle Zona adherens (20nm) Desmosomes/Macula adherens (25mm) - holds 2 cells together Gap Junctions - imp in cardiac muscle Gap Junctions are narrow gaps usually working as electrical synapses, they let pass ca+2 ions & maintain quick transfer of cardiac impulses & maintain rhythmic contractions If gap junctions are compromised, Problem occurs in electrical synapses which leads to arrhythmia. Tight junctions (Zona occludens) are absents in cardiac muscle. Hemi-desmosomes attach cell to basement membrane. Given structure is not skeletal muscle because skeletal muscle is more striated & there is no peri-nuclear halo in it. It is not smooth muscle because smooth muscle is spindle shaped and is not striated.",Anatomy,AIIMS 2017
22c33272-9d2f-4f91-9999-74e84b057914,If periodontal surgery is necessary in case of horizontal bone toss in upper anterior region. Which of the following procedure is the most appropriate?,Papilla preservation flap,Widman flap,Coronally displaced flap,Gingivectomy,A,multi,,Dental,
17360c6c-2c98-4fe2-aa85-487dcf4678df,Concentration of tropicamide:,0.01,0.02,0.03,0.04,A,single,"Answer- A. 0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",Ophthalmology,
62eef71a-8a02-417f-be29-d32ae8f55d41,Advantage of the submarginal falp for periradicular surgery is?,Crestal bone less,Bleeding lees,Gingival shrinking less,Flap closure easy,A,single,,Dental,
cf8f9c7e-0fd4-4d09-8638-0b61f05a55a1,Which type of cerebral palsy is commonly associated with scoliosis and other orthopedic problems –,Spastic quadriplegia,Anterior cerebral palsy,Spastic deplegia,Atonic cerebral palsy,A,single,"""Scollosis is common, occuring in 15 to 25 percent of the total body CP (spastic quadriplegia cp)"". 
Cerebral palsy (CP)

Cerebral palsy is defined as a non progressive neuromotor disorder of cerebral origin.
It has following features -


Static (nonprogressive)
Disorder of movement/motor disorder (but sometimes sensory involvement may occur)
Cerebral in origin 
Etiopathogenesis


CP is due to an insult of developing brain.
The insult results in maldevelopment and disorderly anatomic organization of the brain.
The insult may be prenatal (most of the cases), during delivery or in the postnatal period. Classification

CP may be classified into following types -",Pediatrics,
abcdfc38-ab30-4fe8-8bd8-e8a7cb5b35e1,Which is not true about Juvenile periodontitis,Rate of bone loss is faster than normal periodontitis,There is predilection for female patients,The inflammatory process starts about simultaneously as the bone loss,Frequently bilateral symmetrical patterns of bone loss Occur,C,multi,,Dental,
c1de4352-f68b-4953-a451-778c7f8b88b0,Which of the following occurs most commonly on tongue?,Lymphangioma and granular cell myoblastoma,Lipoma and fibroma,Neuroblastoma and lipoma,Lymphangioma and fibroma,A,single,,Pathology,
13843218-9b0f-452b-868b-b8d3b317730a,True about Arrangement of hydroxyapatite crystals in Enamel rods?,In center orientation of hydroxyapatite crystal is 0 degree,Orientation of hydroxyapatite crystals at periphery is 45 degree,Both,,C,multi,,Dental,
68d6b9df-1044-405b-9fe4-4f0b37dfd0f0,"At physiological pH, which of these amino acids has a positive charge?",Valine,Aspaic acid,Arginine,Isoleucine,C,single,"Ans: C. ArginineAt physiological pH, arginine has a positive charge.Negative Charged (Acidic Side Chains) - Aspaic acid & glutamic acid.Positive Charged (Basic Side Chains) - Histidine, arginine & lysine.",Biochemistry,
19feb385-8320-4c7e-a010-3fd35c47efe4,Angle between rake face and radial line is called:,Edge angle.,Rake angle.,Clearance angle.,Spiral angle.,B,multi,,Dental,
ea10b02c-4402-4a16-9bec-03cc31e8587d,The organ most resistant to GA is,Spinal Cord,Medulla oblonagata,Medullary cortex,Cerebrum,B,single,,Pharmacology,
f6a4c53d-ea90-441f-891d-3f23344c6775,Card test is done for which of the following muscle?,Palmar interossei,Dorsal interossei,Lumbricals,Adductor pollicis,A,single,Ans: A. Palmar interosseiNerveTestTestMuscleUlnar nerveBook testAdductor pollicis Card testPalmar interossei Froment's signFlexor pollicis substitutes for adduc?tor pollicis,Anatomy,
59803c06-dfe8-48b6-b2de-7f032e738213,Find faulty statement regarding muscle spindle:,Central zone has no actin and myosin,Type 1 nuclear bag fibres has low myosin ATPase activity,Peripheral zone has no actin and myosin,Type 2 nuclear bag has high level of myosin ATPase activity,C,multi,"Each muscle spindle has three essential elements: 
(1) A group of specialized intrafusal muscle fibers  with contractile polar ends and a noncontractile center. 
(2) Large diameter myelinated afferent nerves (types Ia and II) originating in the central portion of the intrafusal fibers. 
(3) Small diameter myelinated efferent nerves supplying the polar contractile regions of the intrafusal fibers.",Physiology,
d96e31f1-b13f-4127-bc59-7e3147a02ab7,Technique of root coverage called as:,Langer and langer technique,Pouch and tunnel technique.,Azis technique.,Bruno technique,B,multi,,Dental,
c0a989ca-6fdf-4c72-9407-44ef61bfceee,In heart patient the worst prognosis during pregnancy is seen in:,Mitral regurgitation,Mitral valve prolapse,Aortic stenosis,Pulmonary stenosis,C,single,"Remember 3 ‘FUNDAS: Highest maternal mortality is associated with Class III of clarkes cl;assification, so any of those diseases are given they will have the worst prognosis. Amongst them also Eisenmengers syndrome has the worst prognosis.
↓
2. Stenotic heart disease have a worse prognosis than regurgitant lesions.
Among stenotic disease-(in alphabetical order)-Aortic stenosiswill have the worst> Mitral stenosis>Pulmonary stenosis.
↓
3. Congenital heart disease and Mitral valve prolapse have the best prognosis
So now this question becomes very easy-Mitarl vave prolapse has the best prognosis, so it is ruled out; Regurgitant lesions have a better prognosis than stenotic lesions so mitral regurgitation is also ruled out. Now we are left with 2 options, aortic stenosis and pulmonary stenosis-as I said go alphabetically, aortic stenosis will have a worse prognosis than pulmonary.
Let’s consider each of the options one by one and see what Williams has to say about each of them.
Option “a” Mitral regurgitation
“M R is well-tolerated during pregnancy probably due to decreased systemic vascular resistance which actually results in less regurgitation. Heart failure only rarely develops during pregnany.”
Williams Obs. 22/e, p 1026, 23/e, p 966
Option “b” Mitral valve prolapse
“Pregnant women with mitral valve prolapse rarely have cardiac complications. In fact pregnancy induced hypervolemia may improve alignment of mitral valve.”
Williams Obs. 22/e, p 1030, 23/e, p 971
Option “c” Aortic stenosis
“Although mild to moderate degree of aortic stenosis is well tolerated but severe degree is life threatening.”
Williams Obs. 22/e, p 1026, 23/e, p 967
Option “d” Pulmonary stenosis
“It is well tolerated during pregnancy and rarely causes any complication.”
Williams Obs. 22/e, p 1027, 23/e, p 968",Gynaecology & Obstetrics,
